Type / #,Photos,Payment,Invoice Date,Date Paid,Amount
1037048,43,Card,10/30/2023,11/2/2023,285
1057135,99,Card,11/18/2023,11/22/2023,325
1075029,45,Cash,12/12/2023,12/23/2023,325
1076362,51,Card,12/13/2023,12/20/2023,375
1104444,122,Cash,1/17/2024,1/24/2024,520
1120172,30,Card,1/31/2024,2/6/2024,250
1127435,64,Card,2/6/2024,2/8/2024,400
1130004,52,Card,2/7/2024,2/14/2024,400
1131286,35,Card,2/8/2024,2/13/2024,325
1132398,55,Cash,2/9/2024,2/28/2024,325
1144564,65,Card,2/19/2024,3/1/2024,180
1154422,73,Card,2/26/2024,3/21/2024,400
1156386,45,Card,2/27/2024,3/8/2024,300
1169599,53,Card,3/6/2024,3/8/2024,325
1198026,71,Card,3/24/2024,3/28/2024,780
1200211,75,Card,3/25/2024,4/2/2024,400
1204177,32,Card,3/27/2024,4/3/2024,300
1205725,35,Card,3/28/2024,3/29/2024,410
1212180,6,Card,4/2/2024,4/3/2024,75
1213340,35,Card,4/2/2024,4/8/2024,300
1219738,75,Card,4/5/2024,4/9/2024,755
1221283,57,Card,4/7/2024,4/17/2024,400
1228471,98,Card,4/10/2024,4/16/2024,400
1233993,85,Card,4/14/2024,4/23/2024,705
1237857,40,Card,4/16/2024,4/23/2024,495
1242849,42,Card,4/18/2024,4/25/2024,300
1250947,40,Card,4/23/2024,4/23/2024,30
1279883,74,Card,5/7/2024,5/15/2024,780
1281642,82,Card,5/8/2024,5/20/2024,740
1284597,78,Card,5/9/2024,5/16/2024,660
1286810,56,Card,5/10/2024,5/22/2024,325
1293602,82,Card,5/14/2024,5/20/2024,400
1297819,44,Card,5/16/2024,5/23/2024,390
1300591,55,Card,5/17/2024,5/31/2024,250
1306387,93,Card,5/21/2024,5/28/2024,575
1309709,20,Card,5/22/2024,5/24/2024,180
1310128,66,Card,5/22/2024,5/30/2024,530
1312423,75,Card,5/23/2024,5/28/2024,465
1313139,97,Card,5/24/2024,5/31/2024,690
1315001,56,Card,5/25/2024,6/14/2024,250
1322858,48,Card,5/30/2024,6/10/2024,275
1324729,98,Card,5/30/2024,6/21/2024,100
1324733,36,Card,5/30/2024,6/3/2024,250
1326252,75,Card,5/31/2024,6/14/2024,400
1328170,95,Cash,6/2/2024,6/9/2024,370
1328189,62,Card,6/2/2024,6/11/2024,355
1333336,58,Card,6/4/2024,6/17/2024,200
1333767,42,Card,6/4/2024,6/20/2024,310
1334121,70,Card,6/4/2024,6/12/2024,325
1336108,41,Card,6/5/2024,6/12/2024,250
1336800,81,Cash,6/5/2024,6/18/2024,325
1337168,89,Cash,6/5/2024,6/30/2024,325
1341848,96,Card,6/7/2024,6/17/2024,400
1342965,98,Card,6/9/2024,6/21/2024,300
1344923,51,Card,6/10/2024,7/4/2024,250
1361207,64,Card,6/18/2024,6/24/2024,200
1365170,100,Card,6/19/2024,7/2/2024,695
1366694,53,Card,6/20/2024,6/27/2024,475
1370274,83,Card,6/22/2024,6/26/2024,530
1372469,77,Card,6/24/2024,6/28/2024,560
1382726,66,Card,6/28/2024,7/4/2024,520
1385240,59,Card,7/1/2024,7/3/2024,540
1386052,109,Card,7/1/2024,7/12/2024,695
1386411,81,Card,7/1/2024,7/12/2024,615
1390861,77,Card,7/3/2024,7/3/2024,102.68
1391424,59,Card,7/3/2024,7/3/2024,95.76
1396732,50,Card,7/8/2024,7/16/2024,185
1396748,56,Card,7/8/2024,7/16/2024,285
1404639,88,Card,7/11/2024,7/26/2024,325
1417496,72,Card,7/17/2024,7/19/2024,325
1418483,116,Card,7/18/2024,7/27/2024,680
1419095,127,Card,7/18/2024,7/25/2024,400
1435469,116,Card,7/28/2024,7/30/2024,260
840474,42,Cash,5/17/2023,5/21/2023,280
840482,83,Cash,5/17/2023,5/25/2023,805
862059,47,Cash,6/4/2023,6/7/2023,300
871034,54,Cash,6/11/2023,6/11/2023,220
871035,31,Cash,6/11/2023,6/11/2023,220
897352,46,Card,7/4/2023,7/4/2023,460
897352,46,Acct,7/4/2023,7/4/2023,-85
902124,46,Card,7/7/2023,7/13/2023,280
914065,45,Card,7/18/2023,7/28/2023,320
917047,64,Card,7/20/2023,8/4/2023,408.75
920503,46,Card,7/24/2023,7/27/2023,480
946821,97,Card,8/15/2023,9/11/2023,430
955694,56,Card,8/22/2023,9/7/2023,470
962117,63,Card,8/28/2023,9/4/2023,185
965401,92,Cash,8/30/2023,9/11/2023,755
970467,195,Card,9/5/2023,9/8/2023,763.27
970467,195,Cash,9/5/2023,9/18/2023,48.27
979956,44,Card,9/12/2023,9/13/2023,205
981328,83,Card,9/13/2023,9/20/2023,415
992377,100,Card,9/22/2023,10/13/2023,605
992580,28,Card,9/22/2023,10/13/2023,260
998069,130,Card,9/27/2023,10/3/2023,615
S-1064967,152,Card,7/23/2023,7/24/2023,600
S-1190714,12,Card,10/24/2023,12/12/2023,185
S-1218432,73,Card,11/17/2023,12/5/2023,365
S-1234911,55,Card,12/6/2023,12/8/2023,225
S-1235777,8,Card,12/7/2023,12/14/2023,195
S-1239982,377,Card,12/12/2023,1/8/2024,390
S-1245435,126,Card,12/18/2023,1/8/2024,390
S-1263062,32,Card,1/2/2024,3/13/2024,245
S-1263260,26,Card,1/2/2024,3/13/2024,260
S-1282556,75,Card,1/18/2024,1/23/2024,200
S-1405572,27,Card,4/5/2024,4/10/2024,265
S-1473442,95,Card,5/9/2024,5/20/2024,600
S-1479544,31,Card,5/13/2024,5/16/2024,175
S-1498628,42,Card,5/22/2024,5/29/2024,275
S-1508236,36,Card,5/28/2024,5/29/2024,275
S-1567468,64,Card,6/24/2024,6/26/2024,275
S-1625225,47,Card,7/24/2024,7/31/2024,225
